성씨,인구수
ADAMS,427865
ALLEN,482607
ALVAREZ,233983
ANDERSON,784404
BAILEY,277845
BAKER,419586
BENNETT,247599
BROOKS,251663
BROWN,1437026
CAMPBELL,386157
CARTER,376966
CASTILLO,230420
CHAVEZ,250898
CLARK,562679
COLLINS,329770
COOK,302589
COOPER,280791
COX,261231
CRUZ,334201
DAVIS,1116357
DIAZ,347636
EDWARDS,332423
EVANS,355593
FLORES,433969
FOSTER,227764
GARCIA,1166120
GOMEZ,365655
GONZALEZ,841025
GRAY,246116
GREEN,430182
GUTIERREZ,293218
HALL,407076
HARRIS,624252
HERNANDEZ,1043281
HILL,434827
HOWARD,264826
HUGHES,236271
JACKSON,708099
JAMES,249379
JIMENEZ,227118
JOHNSON,1932812
JONES,1425470
KELLY,267394
KIM,262352
KING,465422
LEE,693023
LEWIS,531781
LONG,229374
LOPEZ,874523
MARTIN,702625
MARTINEZ,1060159
MENDOZA,242771
MILLER,1161437
MITCHELL,384486
MOORE,724374
MORALES,311777
MORGAN,286280
MORRIS,318884
MURPHY,308417
MYERS,229895
NELSON,424958
NGUYEN,437645
ORTIZ,286899
PARKER,336221
PATEL,229973
PEREZ,681645
PETERSON,278297
PHILLIPS,360802
PRICE,235251
RAMIREZ,557423
RAMOS,263464
REED,277030
REYES,327904
RICHARDSON,259798
RIVERA,391114
ROBERTS,376774
ROBINSON,529821
RODRIGUEZ,1094924
ROGERS,302261
ROSS,229368
RUIZ,238234
SANCHEZ,612752
SANDERS,230374
SCOTT,439530
SMITH,2442977
STEWART,324957
TAYLOR,751209
THOMAS,756142
THOMPSON,664644
TORRES,437813
TURNER,348627
WALKER,523129
WARD,260464
WATSON,252579
WHITE,660491
WILLIAMS,1625252
WILSON,801882
WOOD,250715
WRIGHT,458980
YOUNG,484447
